Title,Cites,Year,Reference,Publisher,Tag,Link,Description
An ensemble based machine learning model for diabetic retinopathy classification,83, 2020,"GT Reddy, S Bhattacharya… - … on emerging trends …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, … on emerging trends …,https://ieeexplore.ieee.org/abstract/document/9077904/,"… Machine learning has an important role in uncovering patterns existing in these health …
diagnosis of various ailments. Due to the sensitivity of the health records, the machine learning …"
Untangling computer-aided diagnostic system for screening diabetic retinopathy based on deep learning techniques,9, 2022,"MS Farooq, A Arooj, R Alroobaea, AM Baqasah… - Sensors, 2022 - mdpi.com",mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/5/1803,"… deep learning techniques have been implemented to detect different complex stages of diabetic
retinopathy… state of the art in deep learning methods to detect and classify DR. Then, we …"
Diabetic Retinopathy detection through integration of Deep Learning classification framework,59, 2018,"A Rakhlin - BioRxiv, 2018 - biorxiv.org",biorxiv.org, BioRxiv,https://www.biorxiv.org/content/10.1101/225508.abstract,"… We make use of deep Convolutional Neural Networks (CNNs), which have proven … we bring
their power to the diagnosis of eye fundus images. For training our models we used publicly …"
Deep learning based method for computer aided diagnosis of diabetic retinopathy,29, 2019,"O Dekhil, A Naglah, M Shaban… - … on Imaging Systems …, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, … on Imaging Systems …,https://ieeexplore.ieee.org/abstract/document/9010333/,"… Therefore, an early diagnosis and staging of the disease is required to possibly slow down
… aided diagnosis tool based on convolutional neural networks (CNN) to classify fundus …"
An explainable deep learning ensemble model for robust diagnosis of diabetic retinopathy grading,4, 2021,"M Shorfuzzaman, MS Hossain… - ACM Transactions on …, 2021 - dl.acm.org",dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3469841,"… in the diagnosis process. We find two popular paradigms based … machine learning, such
as conventional classification methods that leverage fundus image features and deep learning …"
Automatic grading system for diabetic retinopathy diagnosis using deep learning artificial intelligence software,14, 2020,"XN Wang, L Dai, ST Li, HY Kong, B Sheng… - Current Eye …, 2020 - Taylor & Francis",Taylor & Francis, Current Eye …,https://www.tandfonline.com/doi/abs/10.1080/02713683.2020.1764975,"… “Grading Instructions”. By removing poor quality images, we can reduce machine learning …
Recent reports provide novel data on the accuracy of deep learning systems for the detection …"
Machine Learning-based Diabetic Retinopathy Early Detection and Classification Systems-A Survey,21, 2021,"DA Hasan, SRM Zeebaree… - 2021 1st Babylon …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2021 1st Babylon …,https://ieeexplore.ieee.org/abstract/document/9509920/,"… analyze retina images to extract wealth information. We conclude that machine learning
algorithms can support the physician in adopting appropriate diagnoses and treating DR cases. …"
Low-shot deep learning of diabetic retinopathy with potential applications to address artificial intelligence bias in retinal diagnostics and rare ophthalmic diseases,27, 2020,"P Burlina, W Paul, P Mathew, N Joshi… - JAMA …, 2020 - jamanetwork.com",jamanetwork.com, JAMA …,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2770184,"… using small training data sets for automated retinal diagnostics. … diabetic retinopathy
classification algorithms, traditional and low-shot, for 2-class designations (diabetic retinopathy …"
Development of a deep learning algorithm for automatic diagnosis of diabetic retinopathy,69, 2017,"M Raju, V Pagidimarri, R Barreto… - MEDINFO 2017 …, 2017 - ebooks.iospress.nl",ebooks.iospress.nl, MEDINFO 2017 …,https://ebooks.iospress.nl/doi/10.3233/978-1-61499-830-3-559,"… Deep learning algorithms have the potential to produce such systems, since they do not …
(CNNs), a branch of Deep Learning, is the state of the art algorithm for image classification [7, 9]. …"
Using a deep learning algorithm and integrated gradients explanation to assist grading for diabetic retinopathy,254, 2019,"R Sayres, A Taly, E Rahimy, K Blumer, D Coz… - Ophthalmology, 2019 - Elsevier",Elsevier, Ophthalmology,https://www.sciencedirect.com/science/article/pii/S0161642018315756,"… Example cases in which model grades improved diabetic retinopathy (DR) diagnosis
over unassisted reads. A, Underdiagnosis of proliferative DR without assistance. B, …"
Automated detection and classification of fundus diabetic retinopathy images using synergic deep learning model,202, 2020,"K Shankar, ARW Sait, D Gupta… - Pattern Recognition …, 2020 - Elsevier",Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865520300714,"… diabetic patient to undergo regular retinal diagnosis. In general, Fundus photography is an
important eye testing method employed in the diagnosis … step in the diagnostic procedure. …"
Diabetic retinopathy detection using prognosis of microaneurysm and early diagnosis system for non-proliferative diabetic retinopathy based on deep learning …,94, 2020,"L Qiao, Y Zhu, H Zhou - IEEE Access, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9091167/,"… of non proliferated diabetic retinopathy. The rapid improvement of deep learning makes it …
Ali, and SL Fernandes, ‘‘A method for the detection and classification of diabetic retinopathy …"
Deep learning approach to diabetic retinopathy detection,72, 2020,"B Tymchenko, P Marchenko, D Spodarets - arXiv preprint arXiv …, 2020 - arxiv.org",arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2003.02261,"… identification of the diabetic retinopathy stage is notoriously … subjects, and for diagnosis of
diabetic retinopathy itself. However, … We aim to classify each fundus photograph accurately. We …"
Simultaneous diagnosis of severity and features of diabetic retinopathy in fundus photography using deep learning,29, 2020,"J Wang, Y Bai, B Xia - IEEE Journal of Biomedical and Health …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Journal of Biomedical and Health …,https://ieeexplore.ieee.org/abstract/document/9151309/,"… The results demonstrate that it is able to achieve high diagnostic … a deep learning framework
to simultaneously diagnose DR … classification problem, in which one task is for DR severity …"
Performance and limitation of machine learning algorithms for diabetic retinopathy screening: meta-analysis,16, 2021,"JH Wu, TYA Liu, WT Hsu, JHC Ho, CC Lee - Journal of medical Internet …, 2021 - jmir.org",jmir.org, Journal of medical Internet …,https://www.jmir.org/2021/7/e23863/,"… : Diabetic retinopathy (DR), whose standard diagnosis is … Although machine learning (ML)–based
automated DR diagnosis … artificial intelligence-based grading of diabetic retinopathy in …"
A deep learning model for identifying diabetic retinopathy using optical coherence tomography angiography,15, 2021,"G Ryu, K Lee, D Park, SH Park, M Sagong - Scientific reports, 2021 - nature.com",nature.com, Scientific reports,https://www.nature.com/articles/s41598-021-02479-6,"… -end deep learning-based classification system for DR and referable DR diagnoses using
OCTA… on automated solutions for the diagnosis and classification of retinal diseases. However, …"
Deep learning based early stage diabetic retinopathy detection using optical coherence tomography,50, 2019,"X Li, L Shen, M Shen, F Tan, CS Qiu - Neurocomputing, 2019 - Elsevier",Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231219312172,"… patients, grading of nuclear … diagnostic accuracy for the four classes was 93.6%. However,
to the best of our knowledge, deep learning has not been used for analysing early retinal …"
A deep learning system for detecting diabetic retinopathy across the disease spectrum,73, 2021,"L Dai, L Wu, H Li, C Cai, Q Wu, H Kong, R Liu… - Nature …, 2021 - nature.com",nature.com, Nature …,https://www.nature.com/articles/s41467-021-23458-5,"… grading range from 0.916 to 0.970, which further supports the system is efficient for diabetic
retinopathy grading. … Thus, diagnostic system using deep learning algorithms is required to …"
Fundus photograph-based deep learning algorithms in detecting diabetic retinopathy,96, 2019,"R Raman, S Srinivasan, S Virmani, S Sivaprasad… - Eye, 2019 - nature.com",nature.com, Eye,https://www.nature.com/articles/s41433-018-0269-y,"… to compare the current evidences on various deep learning models for diagnosis of diabetic
retinopathy (DR). … Machine learning and pattern classification in identification of indigenous …"
Diagnosis and analysis of diabetic retinopathy based on electronic health records,26, 2019,"Y Sun, D Zhang - Ieee Access, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, Ieee Access,https://ieeexplore.ieee.org/abstract/document/8721113/,"… diagnosis of the DR more convenient and quick. In this paper, we used a set of five machine
learning models to diagnose … patients were diagnosed and the classification models were …"
Classification of diabetic retinopathy images by using deep learning models,158, 2018,"S Dutta, BC Manideep, SM Basha… - … Journal of Grid and …, 2018 - researchgate.net",researchgate.net, … Journal of Grid and …,https://www.researchgate.net/profile/N-Ch-Sriman-Narayana-Iyenger/publication/322978904_Classification_of_Diabetic_Retinopathy_Images_by_Using_Deep_Learning_Models/links/5b224b6f458515270fc79e92/Classification-of-Diabetic-Retinopathy-Images-by-Using-Deep-Learning-Models.pdf,"… In this study fundus images containing diabetic retinopathy has been taken into consideration.
The idea … Retinal screening is a possible solution for diagnosis of the damaged caused to …"
An automatic detection system of diabetic retinopathy using a hybrid inductive machine learning algorithm,14, 2021,"MH Mahmoud, S Alamery, H Fouad, A Altinawi… - Personal and Ubiquitous …, 2021 - Springer",Springer, Personal and Ubiquitous …,https://link.springer.com/article/10.1007/s00779-020-01519-8,"… hybrid inductive machine learning algorithm (HIMLA) as an automated DR detection diagnostic
tool… identification and grading system of diabetic retinopathy using deep neural networks (…"
An enhanced diabetic retinopathy detection and classification approach using deep convolutional neural network,144, 2020,"DJ Hemanth, O Deperlioglu, U Kose - Neural Computing and Applications, 2020 - Springer",Springer, Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-018-03974-0,"… diabetic retinopathy from retinal fundus images. By employing both image processing and
deep learning… In this study, the classification regarding the diagnosis tasks was done by using …"
Automated detection of diabetic retinopathy using deep learning,253, 2018,"C Lam, D Yi, M Guo, T Lindsey - AMIA summits on translational …, 2018 - ncbi.nlm.nih.gov",ncbi.nlm.nih.gov, AMIA summits on translational …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961805/,"… for diabetic retinopathy diagnoses are essential to solving these problems. While deep learning
for binary classification … accuracies, multi-stage classification results are less impressive, …"
Diabetic retinopathy fundus image classification and lesions localization system using deep learning,42, 2021,"WL Alyoubi, MF Abulkhair, WM Shalash - Sensors, 2021 - mdpi.com",mdpi.com, Sensors,https://www.mdpi.com/1424-8220/21/11/3704,"… computer-based systems to diagnose cases early will help diabetes patients to stop or delay
… the deep learning technique. The proposed screening system provides classification and …"
AI-Based Automatic Detection and Classification of Diabetic Retinopathy Using U-Net and Deep Learning,1, 2022,"A Bilal, L Zhu, A Deng, H Lu, N Wu - Symmetry, 2022 - mdpi.com",mdpi.com, Symmetry,https://www.mdpi.com/2073-8994/14/7/1427,"… and classify diabetic retinopathy during the last several years. Much work has been
performed on the early diagnosis of diabetic retinopathy and multi-stage DR classification using …"
Deep learning architecture based on segmented fundus image features for classification of diabetic retinopathy,53, 2021,"S Das, K Kharbanda, M Suchetha, R Raman… - … Signal Processing and …, 2021 - Elsevier",Elsevier, … Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S174680942100197X,"… formation in the light-sensitive region of the retina. Blocking of vessels leads, due to the …
branching retinal vasculature is an important aspect for ophthalmologists for efficient diagnosis. …"
Deep learning for diabetic retinopathy detection and classification based on fundus images: A review,42, 2021,"N Tsiknakis, D Theodoropoulos, G Manikis… - Computers in Biology …, 2021 - Elsevier",Elsevier, Computers in Biology …,https://www.sciencedirect.com/science/article/pii/S0010482521003930,"… deep learning models for the diagnosis and grading of the disease as well as the localization
of the disease's lesions. We also discuss certain models that have been applied in real …"
Diagnostic accuracy of a device for the automated detection of diabetic retinopathy in a primary care setting,65, 2019,"FD Verbraak, MD Abramoff, GCF Bausch… - Diabetes …, 2019 - Am Diabetes Assoc",Am Diabetes Assoc, Diabetes …,https://diabetesjournals.org/care/article-abstract/42/4/651/36147,"… ), and its classification of retinopathy (vision-threatening [vt]DR, … of grading according to the
International Clinical Classification of … the diagnostic accuracy of the hybrid deep learning–…"
Hybrid Retinal Image Enhancement Algorithm for Diabetic Retinopathy Diagnostic Using Deep Learning Model,1, 2022,"SH Abbood, HNA Hamed, MSM Rahim… - IEEE …, 2022 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE …,https://ieeexplore.ieee.org/abstract/document/9819926/,"… Next, the results of the processed image are provided to the network of modified Resnet50
which is responsible on deep learning feature extraction and classification. The final output of …"
Deep learning–based diabetic retinopathy severity grading system employing quadrant ensemble model,18, 2021,"C Bhardwaj, S Jain, M Sood - Journal of Digital Imaging, 2021 - Springer",Springer, Journal of Digital Imaging,https://link.springer.com/article/10.1007/s10278-021-00418-5,"… This section presents two main aspects: first section summarizes the work carried out for
the automatic DR diagnosis utilizing conventional machine learning–based methods followed …"
Developments in the detection of diabetic retinopathy: a state-of-the-art review of computer-aided diagnosis and machine learning methods,8, 2022,"G Selvachandran, SG Quek, R Paramesran… - Artificial intelligence …, 2022 - Springer",Springer, Artificial intelligence …,https://link.springer.com/article/10.1007/s10462-022-10185-6,"… machine learning … machine learning models such as convolutional neural networks (CNN)
and artificial neural networks (ANN) and various hybrid models. Each AI will then be classified …"
Deep learning techniques for diabetic retinopathy classification: A survey,10, 2022,"MZ Atwany, AH Sahyoun, M Yaqub - IEEE Access, 2022 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9729867/,"… retinal fundus images, and the utilization of deep learning algorithms has aided the early
diagnosis of Diabetic Retinopathy (… state-of-the-art deep learning methods in supervised, self-…"
Performance of a deep-learning algorithm vs manual grading for detecting diabetic retinopathy in India,139, 2019,"V Gulshan, RP Rajan, K Widner, D Wu… - JAMA …, 2019 - jamanetwork.com",jamanetwork.com, JAMA …,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2734990,"… Diabetic retinopathy severity and referable DME for Aravind (A and C) and Sankara Nethralaya
(B and D). Diabetic retinopathy … Diagnostic assessment of deep learning algorithms for …"
Diabetic retinopathy related lesions detection and classification using machine learning technology,23, 2016,"R Saha, AR Chowdhury, S Banerjee - … Conference on Artificial Intelligence …, 2016 - Springer",Springer, … Conference on Artificial Intelligence …,https://link.springer.com/chapter/10.1007/978-3-319-39384-1_65,"… The classification system bears the advantage of using … This paper gives a suitable approach
for diagnosis the early … In this work we have used total 140 Diabetic Retinopathy images. …"
Deep learning-based diabetic retinopathy assessment on embedded system,31, 2017,"I Ardiyanto, HA Nugroho… - 2017 39th Annual …, 2017 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2017 39th Annual …,https://ieeexplore.ieee.org/abstract/document/8037184/,"… In case that only microaneurysms detected in the retinal image, the patient is diagnosed
as … database for non invasive diabetic retinopathy monitoring and grading systems (FINDeRS),” …"
Artificial intelligence screening for diabetic retinopathy: the real-world emerging application,102, 2019,"V Bellemo, G Lim, TH Rim, GSW Tan… - Current Diabetes …, 2019 - Springer",Springer, Current Diabetes …,https://link.springer.com/article/10.1007/s11892-019-1189-3,"… robust diagnostic performance in diabetic retinopathy diagnosis. … Clinical Classification of
Diabetic Retinopathy Severity scale, … Findings from this study suggest that deep learning can …"
Artificial intelligence using deep learning to screen for referable and vision-threatening diabetic retinopathy in Africa: a clinical validation study,157, 2019,"V Bellemo, ZW Lim, G Lim, QD Nguyen, Y Xie… - The Lancet Digital …, 2019 - Elsevier",Elsevier, The Lancet Digital …,https://www.sciencedirect.com/science/article/pii/S2589750019300044,"… to the grading of diabetic retinopathy by retinal … diagnostic performance of an AI system
using deep learning in detecting referable or vision-threatening diabetic retinopathy and diabetic …"
Visualizing deep learning models for the detection of referable diabetic retinopathy and glaucoma,75, 2019,"S Keel, J Wu, PY Lee, J Scheetz, M He - JAMA ophthalmology, 2019 - jamanetwork.com",jamanetwork.com, JAMA ophthalmology,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2718517,"… disease diagnosis, substantiating the validity of the deep learning … the classification possibility
output of being diagnosed was … On the basis of the classification results of the overlapping …"
Adaptive machine learning classification for diabetic retinopathy,30, 2021,"L Math, R Fatima - Multimedia Tools and Applications, 2021 - Springer",Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-020-09793-7,"… based learning approach for detection of diabetic retinopathy, … recognizing the images of
diabetic retinopathy and their inside the … The severity and diagnosis of diabetic retinopathy are …"
Deep learning algorithm predicts diabetic retinopathy progression in individual patients,165, 2019,"F Arcadu, F Benmansour, A Maunz, J Willis… - NPJ digital …, 2019 - nature.com",nature.com, NPJ digital …,https://www.nature.com/articles/s41746-019-0172-3,"… The global burden of diabetic retinopathy (DR) continues to … to predict DR progression by
means of deep learning (DL), using … that any imaging-based diagnostic/predictive AI tool for DR …"
Deep learning in the grading of diabetic retinopathy: A review,2, 2022,"NMA Tajudin, K Kipli, MH Mahmood, LT Lim… - IET Computer …, 2022 - Wiley Online Library",Wiley Online Library, IET Computer …,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/cvi2.12116,"… Throughout the years, more techniques are being developed to automate DR diagnosis [2] …
of machine learning techniques that have been widely used in medical diagnosis of Diabetes…"
A comprehensive study of machine learning methods on diabetic retinopathy classification,6, 2021,"ÖF Gürcan, ÖF Beyca, O Doğan - … Intelligence Systems, 2021 - acikerisim.bakircay.edu.tr",acikerisim.bakircay.edu.tr, … Intelligence Systems,http://acikerisim.bakircay.edu.tr/xmlui/handle/20.500.14034/279,"… /healthtopics/diabetes). Diabetic retinopathy (DR) results from long-lasting diabetes and is
the fifth … Early diagnosis and treatment processes are critical to overcoming this disease. The …"
Deep learning fundus image analysis for diabetic retinopathy and macular edema grading,132, 2019,"J Sahlsten, J Jaskari, J Kivinen, L Turunen, E Jaanio… - Scientific reports, 2019 - nature.com",nature.com, Scientific reports,https://www.nature.com/articles/s41598-019-47181-w,"… experts’ work or as full diagnosis tool. There are two recent studies that have investigated
the use of deep learning systems in automated detection of diabetic retinopathy 4,5 . Both …"
A systematic comparison of bayesian deep learning robustness in diabetic retinopathy tasks,65, 2019,"A Filos, S Farquhar, AN Gomez, TGJ Rudner… - arXiv preprint arXiv …, 2019 - arxiv.org",arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1912.10481,"… classification task as binary classification which is easily applicable to any BDL classification
algorithm by asking the user to classify … application of diabetic retinopathy diagnosis both …"
Deep learning algorithms for detection of diabetic retinopathy in retinal fundus photographs: A systematic review and meta-analysis,78, 2020,"MM Islam, HC Yang, TN Poly, WS Jian… - Computer Methods and …, 2020 - Elsevier",Elsevier, Computer Methods and …,https://www.sciencedirect.com/science/article/pii/S0169260719311010,"… The Scottish Grading protocol has recommended 5 grades such as grades of no DR (R O ),
… CNN provided insights about the diagnostic process used by retinal specialists. There are …"
DR| GRADUATE: Uncertainty-aware deep learning-based diabetic retinopathy grading in eye fundus images,51, 2020,"T Araújo, G Aresta, L Mendonça, S Penas, C Maia… - Medical Image …, 2020 - Elsevier",Elsevier, Medical Image …,https://www.sciencedirect.com/science/article/pii/S1361841520300797,"… Deep learning approaches have shown promising performance as computer-aided diagnosis
… We propose DR|GRADUATE, a novel deep learning-based DR grading CAD system that …"
Image processing and machine learning techniques for diabetic retinopathy detection: a review,7, 2020,"SS Rahim, V Palade, A Holzinger - … Intelligence and Machine Learning for …, 2020 - Springer",Springer, … Intelligence and Machine Learning for …,https://link.springer.com/chapter/10.1007/978-3-030-50402-1_9,"… An effective automatic diagnosis and grading of diabetic retinopathy would be very … diagnosis
of diabetic retinopathy. This chapter presents an up-to-date review on diabetic retinopathy …"
Hybrid deep learning gaussian process for diabetic retinopathy diagnosis and uncertainty quantification,11, M De La Pava,"S Toledo-Cortés, M De La Pava, O Perdómo… - … on Ophthalmic Medical …, 2020 - Springer",Springer,Cortés,https://link.springer.com/chapter/10.1007/978-3-030-63419-3_21,"… Deep Learning-Gaussian process method for DR diagnosis … the representational power of
deep learning, with the ability to … The final task of DR classification and grading was carried …"
Diabetic Retinopathy Detection from Fundus Images of the Eye Using Hybrid Deep Learning Features,2, 2022,"MM Butt, DNFA Iskandar, SE Abdelhamid, G Latif… - Diagnostics, 2022 - mdpi.com",mdpi.com, Diagnostics,https://www.mdpi.com/1707330,"… In this work, a hybrid technique for the detection and classification of Diabetic Retinopathy
… diagnose Diabetic Retinopathy (DR) from the eye fundus images using hybrid deep learning …"
Diabetic retinopathy diagnosis using multichannel generative adversarial network with semisupervision,50, 2020,"S Wang, X Wang, Y Hu, Y Shen, Z Yang… - IEEE Transactions …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9062342/,"… -aided diagnosis system for diabetic retinopathy screening on … Cheriet, “Automatic grading
of diabetic retinopathy on a … , “Deep learning based early stage diabetic retinopathy detection …"
Diabetic retinopathy detection using machine learning and texture features,60, 2018,"M Chetoui, MA Akhloufi… - 2018 IEEE Canadian …, 2018 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2018 IEEE Canadian …,https://ieeexplore.ieee.org/abstract/document/8447809/,"… are used in medical diagnosis. Diabetic retinopathy (DR) is a condition where the retina of a
… are data hungry but show impressive performances in different classification tasks including …"
"Automated and computer-assisted detection, classification, and diagnosis of diabetic retinopathy",9, 2020,"MD Abràmoff, T Leng, DSW Ting, K Rhee… - Telemedicine and e …, 2020 - liebertpub.com",liebertpub.com, Telemedicine and e …,https://www.liebertpub.com/doi/abs/10.1089/tmj.2020.0008,"… Susceptibility to misdiagnosis of adversarial images by deep learning based retinal image
analysis algorithms. 2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI …"
Identification of Diabetic Retinopathy Using Weighted Fusion Deep Learning Based on Dual-Channel Fundus Scans,10, 2022,"GU Nneji, J Cai, J Deng, HN Monday, MA Hossin… - Diagnostics, 2022 - mdpi.com",mdpi.com, Diagnostics,https://www.mdpi.com/1507270,"… Therefore, it becomes important to classify DR stages. To this effect, this paper presents a
weighted fusion deep learning network (WFDLN) to automatically extract features and classify …"
A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,7, 2022,"D Das, SK Biswas, S Bandyopadhyay - Multimedia Tools and Applications, 2022 - Springer",Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-022-12642-4,"… Restricted Boltzmann Machine (RBM), Long Short-Term Memory (LSTM), Deep Reinforcement
Learning (DRL) etc. are proposed for deep feature extraction and image classification [9]. …"
Diagnosis of diabetic retinopathy using deep neural networks,102, 2018,"Z Gao, J Li, J Guo, Y Chen, Z Yi, J Zhong - IEEE Access, 2018 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8581492/,"… grading are still not good enough for clinical application. In this work, we investigated the
automatic grading of DR using deep … ‘‘MXNet: A flexible and efficient machine learning library …"
"Deep learning for diabetic retinopathy analysis: a review, research challenges, and future directions",2, 2022,"MW Nadeem, HG Goh, M Hussain, SY Liew… - Sensors, 2022 - mdpi.com",mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/18/6780,"… of deep learning to the analysis of diabetic retinopathy is timely. This review distinguishes the
key tasks inherent to the analysis of DR, specifically the retinal … diagnosis and classification …"
Deep learning-based automated detection for diabetic retinopathy and diabetic macular oedema in retinal fundus photographs,27, 2021,"F Li, Y Wang, T Xu, L Dong, L Yan, M Jiang, X Zhang… - Eye, 2021 - nature.com",nature.com, Eye,https://www.nature.com/articles/s41433-021-01552-8,"… algorithms could be leveraged to generate expert-level diagnoses for retinal fundus image
grading. However, these approaches achieved good performance mostly at the expensive of …"
Machine learning approach for the identification of diabetes retinopathy and its stages,17, 2015,"P Nijalingappa, B Sandeep - 2015 International Conference on …, 2015 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2015 International Conference on …,https://ieeexplore.ieee.org/abstract/document/7456965/,"… Classification and severity grading of diabetic retinopathy have historically been based
on … by ADCIS to facilitate studies on computer-assisted diagnoses of diabetic retinopathy [13]. …"
